,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
KAMART      ,,,  47.03 ,,,,,,,,  63.60 ,  92.96 ,  171.73 ,  81.79 
KASET       ,,,,,  79.18 ,  69.30 ,  54.35 ,  62.40 ,  73.85 ,,,,,
KBANK       ,,,  15.45 ,  21.37 ,  30.56 ,  31.88 ,  31.22 ,  40.18 ,  29.85 ,  24.70 ,  20.36 ,  20.27 ,  20.74 ,  24.25 
KBS         ,,,,,,,,,,"  1,081.93 ",  49.41 ,  54.83 ,  56.48 ,  (119.57)
KC          ,,,,  34.10 ,  39.10 ,  51.77 ,,  167.87 ,,,  45.38 ,,  73.53 ,
KCAR        ,,,,  59.12 ,  59.46 ,  58.71 ,  27.44 ,  53.50 ,  53.81 ,  58.75 ,  51.96 ,  57.66 ,  54.98 ,  55.30 
KCE         ,  41.65 ,  15.65 ,  13.07 ,,,  14.37 ,,  39.97 ,  39.06 ,  70.30 ,  35.29 ,  30.71 ,  29.49 ,  38.49 
KDH         ,  98.12 ,  105.73 ,  100.80 ,  89.74 ,  69.62 ,,  (196.80),  (38.80),  (156.02),  85.69 ,,,,
KGI         ,,  20.81 ,  62.54 ,,  76.64 ,  71.64 ,  79.83 ,  82.19 ,  87.35 ,  93.11 ,  103.44 ,  91.55 ,  95.49 ,  96.67 
KIAT        ,,,,,,,,,  61.73 ,  49.69 ,  80.22 ,  655.76 ,  263.91 ,  95.64 
KKC         ,,  67.39 ,  52.77 ,  55.76 ,,,,,  41.48 ,,  78.77 ,,  922.04 ,  84.75 
KSL         ,,,,  50.09 ,  50.22 ,  40.80 ,  39.67 ,  25.81 ,  68.37 ,  41.62 ,  34.48 ,  94.81 ,  22.45 ,  30.05 
KTB         ,  36.29 ,  60.36 ,  47.36 ,  42.92 ,  40.50 ,  52.35 ,  40.08 ,  36.69 ,  38.23 ,  40.71 ,  43.24 ,  36.25 ,  37.90 ,  37.28 
KTC         ,  38.92 ,  49.59 ,  58.51 ,,  58.66 ,  59.39 ,  49.55 ,,  51.76 ,,  40.45 ,  40.20 ,  40.40 ,  40.43 
KTECH       ,,,  41.29 ,,,,,,,,,,,
KTP         ,,,,,,,,,,,,,,
KWC         ,  121.68 ,  75.65 ,  52.31 ,  73.80 ,  59.06 ,  55.47 ,  49.10 ,  48.64 ,  40.31 ,  43.71 ,  47.07 ,  49.03 ,  45.71 ,  58.51 
KYE         ,  50.15 ,  50.25 ,  51.10 ,  33.86 ,  50.02 ,  50.65 ,  50.84 ,  50.04 ,  50.04 ,  50.08 ,  50.02 ,  50.02 ,  50.00 ,  50.01 
L&E         ,,,,,,,,,,,,,  52.74 ,  65.65 
LALIN       ,  29.64 ,  34.71 ,  42.64 ,  40.50 ,  49.95 ,  41.20 ,  41.51 ,  44.73 ,  46.74 ,  50.60 ,  55.17 ,  48.32 ,  51.22 ,  52.26 
