,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FMT         ,  26.91 ,  28.25 ,  30.76 ,  31.31 ,  29.75 ,  29.18 ,  29.72 ,  24.32 ,  26.02 ,  23.29 ,  22.73 ,  24.40 ,  25.76 ,  27.48 
FNS         ,  12.49 ,  21.39 ,  24.59 ,  24.87 ,  21.94 ,  18.73 ,  14.49 ,  10.32 ,  10.24 ,  9.42 ,  6.20 ,  6.50 ,  6.60 ,  8.54 
FOCUS       ,,,  1.30 ,  1.33 ,  1.39 ,  1.45 ,  1.27 ,  1.10 ,  0.67 ,  0.85 ,  1.38 ,  1.27 ,  1.04 ,  1.07 
FORTH       ,,,,,  0.59 ,  0.62 ,  1.09 ,  1.17 ,  1.38 ,  1.49 ,  1.43 ,  1.62 ,  1.82 ,  2.00 
FSS         ,,,  2.43 ,  3.26 ,  3.10 ,  3.11 ,  2.67 ,  2.42 ,  2.69 ,  2.78 ,  3.01 ,  3.57 ,  3.99 ,  4.03 
GBX         ,,,  1.30 ,  1.43 ,  1.21 ,  1.23 ,  1.06 ,  1.12 ,  1.17 ,  1.20 ,  1.17 ,  1.26 ,  1.27 ,  1.27 
GC          ,,,,  1.49 ,  1.58 ,  1.83 ,  1.75 ,  1.98 ,  2.10 ,  1.94 ,  2.00 ,  2.00 ,  1.94 ,  2.11 
GENCO       ,  1.14 ,  1.49 ,  1.23 ,  1.19 ,  1.18 ,  1.28 ,  1.19 ,  1.13 ,  1.13 ,  1.14 ,  1.17 ,  1.21 ,  1.25 ,  1.22 
GFPT        ,  2.81 ,  2.65 ,  2.25 ,  2.63 ,  2.60 ,  2.21 ,  2.99 ,  3.59 ,  4.25 ,  4.72 ,  4.42 ,  5.88 ,  6.89 ,  7.44 
GJS         ,  (345.54),  17.16 ,  17.71 ,  17.01 ,  8.16 ,  7.26 ,  5.19 ,  3.77 ,  2.97 ,  2.70 ,  2.56 ,  1.31 ,  1.27 ,  1.13 
GL          ,,,  0.55 ,  0.64 ,  0.68 ,  0.84 ,  1.20 ,  1.38 ,  1.51 ,  1.66 ,  1.93 ,  2.21 ,  2.31 ,  4.97 
GLAND       ,  (0.17),  0.84 ,  1.09 ,  1.04 ,  1.12 ,  1.15 ,  1.19 ,  1.09 ,  1.04 ,  1.15 ,  1.21 ,  1.29 ,  1.39 ,  1.82 
GLOBAL      ,,,,,,,,  0.85 ,  0.94 ,  1.56 ,  2.63 ,  2.82 ,  3.85 ,  4.08 
GLOW        ,,,,  16.88 ,  17.86 ,  19.55 ,  20.32 ,  21.16 ,  23.09 ,  23.41 ,  25.14 ,  27.74 ,  30.99 ,  33.18 
GOLD        ,  8.00 ,  8.70 ,  9.25 ,  8.78 ,  9.20 ,  10.48 ,  9.71 ,  9.24 ,  8.83 ,  6.05 ,  5.51 ,  4.80 ,  4.64 ,  5.00 
GRAMMY      ,  6.84 ,  5.78 ,  5.99 ,  5.60 ,  5.54 ,  5.69 ,  5.66 ,  5.26 ,  5.62 ,  5.16 ,  5.27 ,  4.77 ,  3.83 ,  2.22 
GRAND       ,,,  1.48 ,  2.62 ,  2.83 ,  1.97 ,  0.53 ,  0.12 ,  0.67 ,  0.96 ,  0.81 ,  0.79 ,  1.05 ,  1.00 
GUNKUL      ,,,,,,,,,  0.21 ,  0.22 ,  0.36 ,  0.54 ,  0.64 ,  1.31 
GYT         ,  325.24 ,  319.49 ,  348.10 ,  367.69 ,  371.00 ,  388.91 ,  382.98 ,  389.49 ,  419.74 ,  383.55 ,  461.05 ,  485.03 ,  497.08 ,  527.73 
HANA        ,  7.81 ,  8.82 ,  10.01 ,  11.22 ,  11.95 ,  13.60 ,  14.93 ,  15.66 ,  16.95 ,  17.54 ,  18.55 ,  20.62 ,  22.82 ,  24.13 
HFT         ,,  0.18 ,  0.18 ,  0.16 ,  2.02 ,  2.06 ,  2.05 ,  2.03 ,  1.98 ,  2.05 ,  2.33 ,  2.82 ,  3.10 ,  3.55 
HMPRO       ,  0.13 ,  0.15 ,  0.18 ,  0.22 ,  0.31 ,  0.34 ,  0.39 ,  0.41 ,  0.48 ,  0.62 ,  0.75 ,  0.97 ,  1.19 ,  1.29 
HTC         ,  3.99 ,  4.03 ,  5.24 ,  5.20 ,  5.31 ,  5.16 ,  5.25 ,  5.44 ,  6.71 ,  6.43 ,  7.80 ,  7.50 ,  7.68 ,  11.80 
HTECH       ,,,,,,,,  1.24 ,  1.72 ,  1.90 ,  2.17 ,  2.26 ,  2.43 ,  2.59 
