Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GJS         ,  (0.00),  0.68 ,  0.77 ,  0.76 ,  0.51 ,  0.37 ,  0.07 ,  0.02 ,  0.03 ,  0.03 ,  0.24 ,  0.09 ,  0.07 ,  0.05 
GL          ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
GLAND       ,  (0.19),  0.00 ,  0.00 ,  0.00 ,  0.01 ,  -   ,  -   ,  0.11 ,  0.22 ,  0.42 ,  0.68 ,  0.81 ,  0.81 ,  0.97 
GLOBAL      ,,,,,,,,  0.53 ,  0.77 ,  0.58 ,  0.03 ,  0.34 ,  0.30 ,  0.32 
GLOW        ,,,,  1.09 ,  0.86 ,  0.72 ,  1.11 ,  1.54 ,  1.88 ,  2.15 ,  2.00 ,  1.57 ,  1.21 ,  1.06 
GOLD        ,  0.59 ,  1.02 ,  1.01 ,  0.93 ,  0.81 ,  0.52 ,  0.50 ,  0.42 ,  0.54 ,  0.53 ,  0.57 ,  0.72 ,  1.39 ,  1.26 
GRAMMY      ,  0.01 ,  -   ,  0.16 ,  0.59 ,  0.48 ,  0.42 ,  0.42 ,  0.46 ,  0.36 ,  0.57 ,  1.21 ,  1.54 ,  2.77 ,  1.70 
GRAND       ,,,  1.75 ,  1.93 ,  1.41 ,  2.23 ,  7.72 ,  34.51 ,  2.81 ,  1.00 ,  1.06 ,  1.24 ,  0.41 ,  0.72 
GUNKUL      ,,,,,,,,,  0.23 ,  2.94 ,  1.61 ,  0.20 ,  0.68 ,  0.91 
GYT         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
HANA        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.00 ,  -   ,  0.00 ,  0.00 ,  0.00 ,  -   ,  -   
HFT         ,,  0.05 ,  0.34 ,  0.69 ,  0.37 ,  0.27 ,  0.27 ,  0.16 ,  0.15 ,  0.05 ,  -   ,  -   ,  -   ,  -   
HMPRO       ,  0.23 ,  0.46 ,  0.92 ,  0.83 ,  0.81 ,  0.68 ,  0.54 ,  0.41 ,  0.44 ,  0.37 ,  0.56 ,  0.77 ,  0.88 ,  0.85 
HTC         ,  0.15 ,  0.24 ,  0.19 ,  0.20 ,  0.18 ,  0.18 ,  0.25 ,  0.21 ,  0.10 ,  0.20 ,  0.39 ,  0.54 ,  0.57 ,  0.37 
HTECH       ,,,,,,,,  0.09 ,  0.12 ,  0.25 ,  0.18 ,  0.23 ,  0.21 ,  0.19 
HYDRO       ,,,,,,,,,,  -   ,  0.07 ,  0.37 ,  0.48 ,  1.58 
ICC         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.03 ,  -   ,  -   ,  0.00 
IEC         ,  0.51 ,  0.55 ,  0.49 ,  0.04 ,  0.13 ,  0.24 ,  0.55 ,  0.63 ,  2.06 ,  9.24 ,  10.13 ,  0.28 ,  0.25 ,  0.24 
IFEC        ,  (1.15),  (2.96),  1.73 ,  1.31 ,  0.80 ,  0.59 ,  0.61 ,  0.46 ,  0.30 ,  0.47 ,  0.16 ,  0.13 ,  0.45 ,  1.62 
IFS         ,,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
IHL         ,,,,  0.51 ,  0.63 ,  1.39 ,  1.17 ,  0.78 ,  1.16 ,  0.98 ,  0.95 ,  0.69 ,  0.46 ,  0.79 
ILINK       ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  0.37 ,  0.47 
INET        ,  0.02 ,  0.02 ,  0.01 ,  0.01 ,  0.00 ,  0.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.36 ,  0.94 ,  1.05 
INOX        ,,,  -   ,  -   ,  -   ,  0.03 ,  0.13 ,  0.25 ,  0.16 ,,  0.02 ,  0.04 ,  0.07 ,  -   
INSURE      ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
