Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GRAND       ,,,  6.73 ,  1.99 ,  (3.34),  (31.97),  (15.26),  (126.89),  140.10 ,  24.13 ,  (17.22),  (6.71),  22.63 ,  (4.06)
GUNKUL      ,,,,,,,,,  10.88 ,  7.73 ,  50.18 ,  37.00 ,  17.57 ,  12.00 
GYT         ,  10.60 ,  10.62 ,  13.07 ,  11.06 ,  7.94 ,  4.72 ,  1.05 ,  8.16 ,  11.18 ,  (4.03),  28.53 ,  9.40 ,  6.53 ,  10.17 
HANA        ,  (12.78),  24.83 ,  24.90 ,  24.25 ,  23.42 ,  23.15 ,  16.12 ,  16.08 ,  20.30 ,  11.30 ,  11.26 ,  14.83 ,  19.48 ,  10.94 
HFT         ,,  5.60 ,  3.90 ,  (8.46),  (2.43),  2.33 ,  5.63 ,  8.58 ,  9.03 ,  9.49 ,  10.95 ,  18.93 ,  14.93 ,  18.91 
HMPRO       ,  12.10 ,  16.79 ,  26.06 ,  24.40 ,  18.89 ,  17.24 ,  20.68 ,  22.34 ,  28.47 ,  27.93 ,  29.80 ,  27.18 ,  23.32 ,  21.46 
HTC         ,  9.80 ,  7.35 ,  6.28 ,  1.30 ,  5.27 ,  0.34 ,  2.27 ,  4.56 ,  6.72 ,  3.29 ,  9.54 ,  13.10 ,  7.62 ,  5.20 
HTECH       ,,,,,,,,  22.86 ,  24.10 ,  20.02 ,  17.52 ,  8.71 ,  11.09 ,  9.66 
HYDRO       ,,,,,,,,,,  18.69 ,  21.11 ,  (3.81),  (65.28),  (37.42)
ICC         ,  8.11 ,  5.09 ,  7.71 ,  7.30 ,  7.22 ,  6.81 ,  7.07 ,  5.69 ,  6.54 ,  5.57 ,  6.51 ,  4.36 ,  3.51 ,  4.43 
IEC         ,  (37.85),  (13.01),  (8.53),  (16.12),  (52.51),  9.99 ,  (77.46),  (57.31),  (145.44),  (154.61),  (446.07),  11.45 ,  0.65 ,  -   
